amfi_code,avg_return,downside_std,sortino_ratio,scheme_name
100016,0.00014159930699210853,0.0052608151921797325,-0.35104746015230914,HDFC Top 100 Fund - Regular Plan - Growth
100025,0.00017005379350090052,0.0014812735022368376,-0.9418212366054205,HDFC Short Term Debt Fund - Regular - Growth
100033,0.0010798038431409668,0.007132741369596699,1.8291339615146933,HDFC Mid-Cap Opportunities Fund - Regular - Growth
101206,0.0008517723174694551,0.0052384117067057305,1.7995628746984516,ABSL Frontline Equity Fund - Regular - Growth
101207,0.0004244528681492361,0.009555122167229153,0.2766437962609234,ABSL Small Cap Fund - Regular - Growth
101208,0.00024154628565905978,0.00015477742507848403,-1.6810378667512842,ABSL Liquid Fund - Regular - Growth
102885,0.0006741587522893979,0.004602026848849017,1.4357420130649485,UTI Nifty 50 Index Fund - Regular - Growth
102886,0.0001098147223397074,0.006771916531253499,-0.3472223025472727,UTI Mid Cap Fund - Regular - Growth
102887,0.000645340694310669,0.005648515402825675,1.0887552508030014,UTI Flexi Cap Fund - Regular - Growth
118632,0.0008652259973214283,0.00521066546977899,1.8501325468557266,Nippon India Large Cap Fund - Regular - Growth
118633,0.0006163137445172902,0.004927831896192431,1.154475716923624,Nippon India Large Cap Fund - Direct - Growth
118634,0.0007071093821003067,0.009557987242320905,0.7460146308533571,Nippon India Small Cap Fund - Regular - Growth
118635,0.000600473969875538,0.0047783171169877335,1.137976718780742,Nippon India ETF Nifty 50 BeES
118636,0.00020153331311365723,0.0014593908512963234,-0.6135251287271029,Nippon India Gilt Securities Fund - Regular - Growth
119092,0.0002749789297660477,0.0051458921431115036,0.05257398559304798,Axis Bluechip Fund - Regular - Growth
119093,0.00032985864437101356,0.005164163193373067,0.22108683979276353,Axis Bluechip Fund - Direct - Growth
119094,0.0010266978562569042,0.0071626517897670884,1.703797480246301,Axis Midcap Fund - Regular - Growth
119095,0.00018236517391230026,0.009358756398627772,-0.12818559275851926,Axis Small Cap Fund - Regular - Growth
119120,0.00022226830595075775,0.0015028257271034965,-0.376767008170667,SBI Magnum Gilt Fund - Regular Plan - Growth
119551,0.0009167982325947294,0.004886822532070308,2.140267129061793,SBI Bluechip Fund - Regular Plan - Growth
119552,0.0007852425930349881,0.005199929710628718,1.6097764896283082,SBI Bluechip Fund - Direct Plan - Growth
119598,0.0012010157369980656,0.008936172964762255,1.6753165700125516,SBI Small Cap Fund - Regular Plan - Growth
119599,0.00020131692580289563,0.009522556218325871,-0.09438726129459607,SBI Small Cap Fund - Direct Plan - Growth
120503,0.000697595408431375,0.005216491204490983,1.3379431500669232,ICICI Pru Bluechip Fund - Regular - Growth
120504,0.0008430464116382315,0.005145052732898054,1.8052937940992553,ICICI Pru Bluechip Fund - Direct - Growth
120505,0.0011613203372383767,0.007066673035853751,2.0293529404657473,ICICI Pru Midcap Fund - Regular - Growth
120506,0.0006501094769466271,0.005680792379048568,1.0958951614736472,ICICI Pru Value Discovery Fund - Regular - Growth
120507,0.0002676525413793258,0.00014659609188478174,1.0521238822609291,ICICI Pru Liquid Fund - Regular - Growth
120841,0.0005220152587214266,0.00486001289816643,0.8625738849916584,Kotak Bluechip Fund - Regular - Growth
120842,0.0003119045881482731,0.006870582034365551,0.12469346986475667,Kotak Emerging Equity Fund - Regular - Growth
120843,0.001081754914045031,0.0055312781646822485,2.3643200321667175,Kotak Flexicap Fund - Regular - Growth
120844,0.0002561287499929851,0.00015287024177422428,-0.1877230477424232,Kotak Liquid Fund - Regular - Growth
125497,0.0007095223731125696,0.005387364568538926,1.3306512447571364,HDFC Top 100 Fund - Direct Plan - Growth
125498,0.00047686346287115325,0.006830326465059989,0.5088128197169233,HDFC Mid-Cap Opportunities Fund - Direct - Growth
148567,0.001073675403449081,0.005428073713873138,2.3856443733688164,Mirae Asset Large Cap Fund - Regular - Growth
148568,0.0008250722735460028,0.005514041292822309,1.6327409778735174,Mirae Asset Emerging Bluechip Fund - Regular - Growth
148569,0.0011240540293206527,0.006404164246039033,2.1469139263460555,Mirae Asset Tax Saver Fund - Regular - Growth
149322,0.0005222511308194414,0.0055054528482914086,0.7621288703723165,DSP Top 100 Equity Fund - Regular - Growth
149323,0.0010551910655344048,0.0067495155272582355,1.875101063919208,DSP Midcap Fund - Regular - Growth
149324,0.0011941715475284602,0.009175412464067082,1.6197931764914104,DSP Small Cap Fund - Regular - Growth
